OD	Drug	Concentration	Replicate	Strain	Time_h	OD_no1st	Concentration_f
0.167	Nx	8	1	zntA	0	0	8
0.169	Nx	8	1	yijE	0	0	8
0.169	Nx	8	2	zntA	0	0	8
0.175	Nx	8	2	yijE	0	0	8
0.168	Nx	8	1	ompF	0	0	8
0.172	Nx	8	1	copA	0	0	8
0.166	Nx	8	2	ompF	0	0	8
0.164	Nx	8	2	copA	0	0	8
0.161	Nx	8	1	cueO	0	0	8
0.164	Nx	8	1	nmpC	0	0	8
0.167	Nx	8	2	cueO	0	0	8
0.162	Nx	8	2	nmpC	0	0	8
0.166	Nx	8	1	blc	0	0	8
0.158	Nx	8	1	putP	0	0	8
0.163	Nx	8	2	blc	0	0	8
0.16	Nx	8	2	putP	0	0	8
0.161	Nx	8	1	eamA	0	0	8
0.16	Nx	8	1	BW_EC	0	0	8
0.16	Nx	8	2	eamA	0	0	8
0.152	Nx	8	2	BW_EC	0	0	8
0.146	Nx	8	1	yhbE	0	0	8
0.151	Nx	8	1	BW_SG	0	0	8
0.155	Nx	8	2	yhbE	0	0	8
0.151	Nx	8	2	BW_SG	0	0	8
0.171	Nx	8	1	ampD	0	0	8
0.187	Nx	0	1	nobug	0	0	0
0.18	Nx	8	2	ampD	0	0	8
0.196	Nx	0	1	nobug	0	0	0
0.183	Nx	8	1	lptD	0	0	8
0.191	Nx	0	1	nobug	0	0	0
0.173	Nx	8	2	lptD	0	0	8
0.175	Nx	0	1	nobug	0	0	0
0.279	Nx	8	1	nobug	0	0	8
0.155	Nx	0	1	nobug	0	0	0
0.217	Nx	8	1	nobug	0	0	8
0.157	Nx	0	1	nobug	0	0	0
0.365	Nx	8	1	nobug	0	0	8
0.162	Nx	0	1	nobug	0	0	0
0.652	Nx	8	1	nobug	0	0	8
1.945	Nx	0	1	nobug	0	0	0
1.68	Nx	8	1	nobug	0	0	8
1.557	Nx	0	1	nobug	0	0	0
0.182	Nx	8	1	nobug	0	0	8
0.965	Nx	0	1	nobug	0	0	0
0.203	Nx	8	1	nobug	0	0	8
1.741	Nx	0	1	nobug	0	0	0
0.217	Nx	8	1	nobug	0	0	8
1.789	Nx	0	1	nobug	0	0	0
0.183	Nx	4	1	zntA	0	0	4
0.176	Nx	4	1	yijE	0	0	4
0.173	Nx	4	2	zntA	0	0	4
0.165	Nx	4	2	yijE	0	0	4
0.168	Nx	4	1	ompF	0	0	4
0.158	Nx	4	1	copA	0	0	4
0.161	Nx	4	2	ompF	0	0	4
0.166	Nx	4	2	copA	0	0	4
0.161	Nx	4	1	cueO	0	0	4
0.158	Nx	4	1	nmpC	0	0	4
0.162	Nx	4	2	cueO	0	0	4
0.163	Nx	4	2	nmpC	0	0	4
0.156	Nx	4	1	blc	0	0	4
0.158	Nx	4	1	putP	0	0	4
0.153	Nx	4	2	blc	0	0	4
0.163	Nx	4	2	putP	0	0	4
0.152	Nx	4	1	eamA	0	0	4
0.154	Nx	4	1	BW_EC	0	0	4
0.15	Nx	4	2	eamA	0	0	4
0.15	Nx	4	2	BW_EC	0	0	4
0.15	Nx	4	1	yhbE	0	0	4
0.149	Nx	4	1	BW_SG	0	0	4
0.145	Nx	4	2	yhbE	0	0	4
0.148	Nx	4	2	BW_SG	0	0	4
0.174	Nx	4	1	ampD	0	0	4
0.214	Nx	0	1	nobug	0	0	0
0.19	Nx	4	2	ampD	0	0	4
0.227	Nx	0	1	nobug	0	0	0
0.182	Nx	4	1	lptD	0	0	4
0.185	Nx	0	1	nobug	0	0	0
0.174	Nx	4	2	lptD	0	0	4
0.178	Nx	0	1	nobug	0	0	0
0.199	Nx	4	1	nobug	0	0	4
0.171	Nx	0	1	nobug	0	0	0
0.206	Nx	4	1	nobug	0	0	4
0.156	Nx	0	1	nobug	0	0	0
0.185	Nx	4	1	nobug	0	0	4
0.167	Nx	0	1	nobug	0	0	0
0.187	Nx	4	1	nobug	0	0	4
1.094	Nx	0	1	nobug	0	0	0
0.19	Nx	4	1	nobug	0	0	4
1.74	Nx	0	1	nobug	0	0	0
1.359	Nx	4	1	nobug	0	0	4
1.334	Nx	0	1	nobug	0	0	0
0.168	Nx	4	1	nobug	0	0	4
1.274	Nx	0	1	nobug	0	0	0
0.159	Nx	4	1	nobug	0	0	4
1.417	Nx	0	1	nobug	0	0	0
0.169	Nx	2	1	zntA	0	0	2
0.168	Nx	2	1	yijE	0	0	2
0.172	Nx	2	2	zntA	0	0	2
0.163	Nx	2	2	yijE	0	0	2
0.164	Nx	2	1	ompF	0	0	2
0.167	Nx	2	1	copA	0	0	2
0.166	Nx	2	2	ompF	0	0	2
0.175	Nx	2	2	copA	0	0	2
0.158	Nx	2	1	cueO	0	0	2
0.156	Nx	2	1	nmpC	0	0	2
0.163	Nx	2	2	cueO	0	0	2
0.16	Nx	2	2	nmpC	0	0	2
0.155	Nx	2	1	blc	0	0	2
0.161	Nx	2	1	putP	0	0	2
0.162	Nx	2	2	blc	0	0	2
0.16	Nx	2	2	putP	0	0	2
0.156	Nx	2	1	eamA	0	0	2
0.153	Nx	2	1	BW_EC	0	0	2
0.157	Nx	2	2	eamA	0	0	2
0.145	Nx	2	2	BW_EC	0	0	2
0.145	Nx	2	1	yhbE	0	0	2
0.147	Nx	2	1	BW_SG	0	0	2
0.149	Nx	2	2	yhbE	0	0	2
0.146	Nx	2	2	BW_SG	0	0	2
0.169	Nx	2	1	ampD	0	0	2
0.188	Nx	0	1	nobug	0	0	0
0.194	Nx	2	2	ampD	0	0	2
0.193	Nx	0	1	nobug	0	0	0
0.19	Nx	2	1	lptD	0	0	2
0.2	Nx	0	1	nobug	0	0	0
0.178	Nx	2	2	lptD	0	0	2
0.183	Nx	0	1	nobug	0	0	0
0.219	Nx	2	1	nobug	0	0	2
0.175	Nx	0	1	nobug	0	0	0
0.204	Nx	2	1	nobug	0	0	2
0.155	Nx	0	1	nobug	0	0	0
0.189	Nx	2	1	nobug	0	0	2
0.149	Nx	0	1	nobug	0	0	0
0.194	Nx	2	1	nobug	0	0	2
0.165	Nx	0	1	nobug	0	0	0
0.199	Nx	2	1	nobug	0	0	2
1.462	Nx	0	1	nobug	0	0	0
0.171	Nx	2	1	nobug	0	0	2
1.843	Nx	0	1	nobug	0	0	0
1.312	Nx	2	1	nobug	0	0	2
1.795	Nx	0	1	nobug	0	0	0
0.172	Nx	2	1	nobug	0	0	2
1.836	Nx	0	1	nobug	0	0	0
0.167	Nx	1	1	zntA	0	0	1
0.162	Nx	1	1	yijE	0	0	1
0.175	Nx	1	2	zntA	0	0	1
0.167	Nx	1	2	yijE	0	0	1
0.167	Nx	1	1	ompF	0	0	1
0.167	Nx	1	1	copA	0	0	1
0.166	Nx	1	2	ompF	0	0	1
0.167	Nx	1	2	copA	0	0	1
0.158	Nx	1	1	cueO	0	0	1
0.157	Nx	1	1	nmpC	0	0	1
0.156	Nx	1	2	cueO	0	0	1
0.16	Nx	1	2	nmpC	0	0	1
0.155	Nx	1	1	blc	0	0	1
0.152	Nx	1	1	putP	0	0	1
0.161	Nx	1	2	blc	0	0	1
0.157	Nx	1	2	putP	0	0	1
0.154	Nx	1	1	eamA	0	0	1
0.153	Nx	1	1	BW_EC	0	0	1
0.153	Nx	1	2	eamA	0	0	1
0.145	Nx	1	2	BW_EC	0	0	1
0.149	Nx	1	1	yhbE	0	0	1
0.146	Nx	1	1	BW_SG	0	0	1
0.148	Nx	1	2	yhbE	0	0	1
0.145	Nx	1	2	BW_SG	0	0	1
0.177	Nx	1	1	ampD	0	0	1
0.196	Nx	0	1	nobug	0	0	0
0.203	Nx	1	2	ampD	0	0	1
0.179	Nx	0	1	nobug	0	0	0
0.195	Nx	1	1	lptD	0	0	1
0.173	Nx	0	1	nobug	0	0	0
0.19	Nx	1	2	lptD	0	0	1
0.176	Nx	0	1	nobug	0	0	0
0.222	Nx	1	1	nobug	0	0	1
0.167	Nx	0	1	nobug	0	0	0
0.202	Nx	1	1	nobug	0	0	1
0.225	Nx	0	1	nobug	0	0	0
0.189	Nx	1	1	nobug	0	0	1
0.178	Nx	0	1	nobug	0	0	0
0.197	Nx	1	1	nobug	0	0	1
0.218	Nx	0	1	nobug	0	0	0
0.2	Nx	1	1	nobug	0	0	1
1.45	Nx	0	1	nobug	0	0	0
0.175	Nx	1	1	nobug	0	0	1
1.74	Nx	0	1	nobug	0	0	0
0.165	Nx	1	1	nobug	0	0	1
0.155	Nx	0	1	nobug	0	0	0
0.171	Nx	1	1	nobug	0	0	1
0.142	Nx	0	1	nobug	0	0	0
0.158	Nx	0.5	1	zntA	0	0	0.5
0.169	Nx	0.5	1	yijE	0	0	0.5
0.171	Nx	0.5	2	zntA	0	0	0.5
0.162	Nx	0.5	2	yijE	0	0	0.5
0.165	Nx	0.5	1	ompF	0	0	0.5
0.162	Nx	0.5	1	copA	0	0	0.5
0.163	Nx	0.5	2	ompF	0	0	0.5
0.159	Nx	0.5	2	copA	0	0	0.5
0.162	Nx	0.5	1	cueO	0	0	0.5
0.158	Nx	0.5	1	nmpC	0	0	0.5
0.159	Nx	0.5	2	cueO	0	0	0.5
0.159	Nx	0.5	2	nmpC	0	0	0.5
0.156	Nx	0.5	1	blc	0	0	0.5
0.151	Nx	0.5	1	putP	0	0	0.5
0.153	Nx	0.5	2	blc	0	0	0.5
0.158	Nx	0.5	2	putP	0	0	0.5
0.154	Nx	0.5	1	eamA	0	0	0.5
0.159	Nx	0.5	1	BW_EC	0	0	0.5
0.152	Nx	0.5	2	eamA	0	0	0.5
0.148	Nx	0.5	2	BW_EC	0	0	0.5
0.145	Nx	0.5	1	yhbE	0	0	0.5
0.149	Nx	0.5	1	BW_SG	0	0	0.5
0.145	Nx	0.5	2	yhbE	0	0	0.5
0.151	Nx	0.5	2	BW_SG	0	0	0.5
0.172	Nx	0.5	1	ampD	0	0	0.5
0.176	Nx	0	1	nobug	0	0	0
0.187	Nx	0.5	2	ampD	0	0	0.5
0.184	Nx	0	1	nobug	0	0	0
0.178	Nx	0.5	1	lptD	0	0	0.5
0.235	Nx	0	1	nobug	0	0	0
0.184	Nx	0.5	2	lptD	0	0	0.5
0.167	Nx	0	1	nobug	0	0	0
0.226	Nx	0.5	1	nobug	0	0	0.5
0.211	Nx	0	1	nobug	0	0	0
0.207	Nx	0.5	1	nobug	0	0	0.5
0.157	Nx	0	1	nobug	0	0	0
0.19	Nx	0.5	1	nobug	0	0	0.5
0.207	Nx	0	1	nobug	0	0	0
0.2	Nx	0.5	1	nobug	0	0	0.5
0.196	Nx	0	1	nobug	0	0	0
0.205	Nx	0.5	1	nobug	0	0	0.5
0.584	Nx	0	1	nobug	0	0	0
0.178	Nx	0.5	1	nobug	0	0	0.5
1.18	Nx	0	1	nobug	0	0	0
0.172	Nx	0.5	1	nobug	0	0	0.5
1.353	Nx	0	1	nobug	0	0	0
0.173	Nx	0.5	1	nobug	0	0	0.5
1.512	Nx	0	1	nobug	0	0	0
0.176	Nx	0.25	1	zntA	0	0	0.25
0.161	Nx	0.25	1	yijE	0	0	0.25
0.165	Nx	0.25	2	zntA	0	0	0.25
0.166	Nx	0.25	2	yijE	0	0	0.25
0.164	Nx	0.25	1	ompF	0	0	0.25
0.163	Nx	0.25	1	copA	0	0	0.25
0.164	Nx	0.25	2	ompF	0	0	0.25
0.155	Nx	0.25	2	copA	0	0	0.25
0.156	Nx	0.25	1	cueO	0	0	0.25
0.156	Nx	0.25	1	nmpC	0	0	0.25
0.16	Nx	0.25	2	cueO	0	0	0.25
0.157	Nx	0.25	2	nmpC	0	0	0.25
0.151	Nx	0.25	1	blc	0	0	0.25
0.16	Nx	0.25	1	putP	0	0	0.25
0.149	Nx	0.25	2	blc	0	0	0.25
0.15	Nx	0.25	2	putP	0	0	0.25
0.15	Nx	0.25	1	eamA	0	0	0.25
0.15	Nx	0.25	1	BW_EC	0	0	0.25
0.148	Nx	0.25	2	eamA	0	0	0.25
0.152	Nx	0.25	2	BW_EC	0	0	0.25
0.149	Nx	0.25	1	yhbE	0	0	0.25
0.143	Nx	0.25	1	BW_SG	0	0	0.25
0.147	Nx	0.25	2	yhbE	0	0	0.25
0.15	Nx	0.25	2	BW_SG	0	0	0.25
0.167	Nx	0.25	1	ampD	0	0	0.25
0.181	Nx	0	1	nobug	0	0	0
0.181	Nx	0.25	2	ampD	0	0	0.25
0.206	Nx	0	1	nobug	0	0	0
0.187	Nx	0.25	1	lptD	0	0	0.25
0.212	Nx	0	1	nobug	0	0	0
0.177	Nx	0.25	2	lptD	0	0	0.25
0.168	Nx	0	1	nobug	0	0	0
0.228	Nx	0.25	1	nobug	0	0	0.25
0.16	Nx	0	1	nobug	0	0	0
0.207	Nx	0.25	1	nobug	0	0	0.25
0.162	Nx	0	1	nobug	0	0	0
0.189	Nx	0.25	1	nobug	0	0	0.25
0.153	Nx	0	1	nobug	0	0	0
0.197	Nx	0.25	1	nobug	0	0	0.25
0.204	Nx	0	1	nobug	0	0	0
0.188	Nx	0.25	1	nobug	0	0	0.25
0.229	Nx	0	1	nobug	0	0	0
0.187	Nx	0.25	1	nobug	0	0	0.25
0.458	Nx	0	1	nobug	0	0	0
0.173	Nx	0.25	1	nobug	0	0	0.25
0.179	Nx	0	1	nobug	0	0	0
1.874	Nx	0.25	1	nobug	0	0	0.25
0.834	Nx	0	1	nobug	0	0	0
0.154	Nx	0.125	1	zntA	0	0	0.125
0.165	Nx	0.125	1	yijE	0	0	0.125
0.171	Nx	0.125	2	zntA	0	0	0.125
0.159	Nx	0.125	2	yijE	0	0	0.125
0.167	Nx	0.125	1	ompF	0	0	0.125
0.16	Nx	0.125	1	copA	0	0	0.125
0.162	Nx	0.125	2	ompF	0	0	0.125
0.16	Nx	0.125	2	copA	0	0	0.125
0.169	Nx	0.125	1	cueO	0	0	0.125
0.158	Nx	0.125	1	nmpC	0	0	0.125
0.162	Nx	0.125	2	cueO	0	0	0.125
0.158	Nx	0.125	2	nmpC	0	0	0.125
0.161	Nx	0.125	1	blc	0	0	0.125
0.157	Nx	0.125	1	putP	0	0	0.125
0.155	Nx	0.125	2	blc	0	0	0.125
0.155	Nx	0.125	2	putP	0	0	0.125
0.15	Nx	0.125	1	eamA	0	0	0.125
0.149	Nx	0.125	1	BW_EC	0	0	0.125
0.144	Nx	0.125	2	eamA	0	0	0.125
0.15	Nx	0.125	2	BW_EC	0	0	0.125
0.141	Nx	0.125	1	yhbE	0	0	0.125
0.146	Nx	0.125	1	BW_SG	0	0	0.125
0.149	Nx	0.125	2	yhbE	0	0	0.125
0.146	Nx	0.125	2	BW_SG	0	0	0.125
0.162	Nx	0.125	1	ampD	0	0	0.125
0.196	Nx	0	1	nobug	0	0	0
0.172	Nx	0.125	2	ampD	0	0	0.125
0.179	Nx	0	1	nobug	0	0	0
0.179	Nx	0.125	1	lptD	0	0	0.125
0.167	Nx	0	1	nobug	0	0	0
0.178	Nx	0.125	2	lptD	0	0	0.125
0.19	Nx	0	1	nobug	0	0	0
0.204	Nx	0.125	1	nobug	0	0	0.125
0.156	Nx	0	1	nobug	0	0	0
0.204	Nx	0.125	1	nobug	0	0	0.125
0.164	Nx	0	1	nobug	0	0	0
0.18	Nx	0.125	1	nobug	0	0	0.125
0.153	Nx	0	1	nobug	0	0	0
0.19	Nx	0.125	1	nobug	0	0	0.125
0.192	Nx	0	1	nobug	0	0	0
0.189	Nx	0.125	1	nobug	0	0	0.125
0.511	Nx	0	1	nobug	0	0	0
0.178	Nx	0.125	1	nobug	0	0	0.125
0.16	Nx	0	1	nobug	0	0	0
0.175	Nx	0.125	1	nobug	0	0	0.125
0.183	Nx	0	1	nobug	0	0	0
0.159	Nx	0.125	1	nobug	0	0	0.125
0.406	Nx	0	1	nobug	0	0	0
0.163	Nx	0	1	zntA	0	0	0
0.163	Nx	0	1	yijE	0	0	0
0.158	Nx	0	2	zntA	0	0	0
0.16	Nx	0	2	yijE	0	0	0
0.163	Nx	0	1	ompF	0	0	0
0.154	Nx	0	1	copA	0	0	0
0.161	Nx	0	2	ompF	0	0	0
0.158	Nx	0	2	copA	0	0	0
0.15	Nx	0	1	cueO	0	0	0
0.156	Nx	0	1	nmpC	0	0	0
0.157	Nx	0	2	cueO	0	0	0
0.155	Nx	0	2	nmpC	0	0	0
0.156	Nx	0	1	blc	0	0	0
0.156	Nx	0	1	putP	0	0	0
0.146	Nx	0	2	blc	0	0	0
0.152	Nx	0	2	putP	0	0	0
0.153	Nx	0	1	eamA	0	0	0
0.155	Nx	0	1	BW_EC	0	0	0
0.149	Nx	0	2	eamA	0	0	0
0.144	Nx	0	2	BW_EC	0	0	0
0.142	Nx	0	1	yhbE	0	0	0
0.146	Nx	0	1	BW_SG	0	0	0
0.145	Nx	0	2	yhbE	0	0	0
0.149	Nx	0	2	BW_SG	0	0	0
0.166	Nx	0	1	ampD	0	0	0
0.206	Nx	0	1	nobug	0	0	0
0.174	Nx	0	2	ampD	0	0	0
0.173	Nx	0	1	nobug	0	0	0
0.186	Nx	0	1	lptD	0	0	0
0.167	Nx	0	1	nobug	0	0	0
0.185	Nx	0	2	lptD	0	0	0
0.165	Nx	0	1	nobug	0	0	0
0.204	Nx	0	1	nobug	0	0	0
0.221	Nx	0	1	nobug	0	0	0
0.195	Nx	0	1	nobug	0	0	0
0.24	Nx	0	1	nobug	0	0	0
0.195	Nx	0	1	nobug	0	0	0
0.196	Nx	0	1	nobug	0	0	0
0.198	Nx	0	1	nobug	0	0	0
0.222	Nx	0	1	nobug	0	0	0
0.208	Nx	0	1	nobug	0	0	0
0.881	Nx	0	1	nobug	0	0	0
0.198	Nx	0	1	nobug	0	0	0
0.984	Nx	0	1	nobug	0	0	0
0.188	Nx	0	1	nobug	0	0	0
0.522	Nx	0	1	nobug	0	0	0
0.18	Nx	0	1	nobug	0	0	0
0.251	Nx	0	1	nobug	0	0	0
0.166	Nx	8	1	zntA	0.25	0	8
0.167	Nx	8	1	yijE	0.25	0	8
0.167	Nx	8	2	zntA	0.25	0	8
0.173	Nx	8	2	yijE	0.25	0	8
0.166	Nx	8	1	ompF	0.25	0	8
0.17	Nx	8	1	copA	0.25	0	8
0.165	Nx	8	2	ompF	0.25	0	8
0.163	Nx	8	2	copA	0.25	0	8
0.16	Nx	8	1	cueO	0.25	0	8
0.163	Nx	8	1	nmpC	0.25	0	8
0.166	Nx	8	2	cueO	0.25	0	8
0.161	Nx	8	2	nmpC	0.25	0	8
0.165	Nx	8	1	blc	0.25	0	8
0.158	Nx	8	1	putP	0.25	0	8
0.163	Nx	8	2	blc	0.25	0	8
0.159	Nx	8	2	putP	0.25	0	8
0.161	Nx	8	1	eamA	0.25	0	8
0.16	Nx	8	1	BW_EC	0.25	0	8
0.159	Nx	8	2	eamA	0.25	0	8
0.151	Nx	8	2	BW_EC	0.25	0	8
0.146	Nx	8	1	yhbE	0.25	0	8
0.151	Nx	8	1	BW_SG	0.25	0	8
0.155	Nx	8	2	yhbE	0.25	0	8
0.151	Nx	8	2	BW_SG	0.25	0	8
0.17	Nx	8	1	ampD	0.25	0	8
0.186	Nx	0	1	nobug	0.25	0	0
0.179	Nx	8	2	ampD	0.25	0	8
0.195	Nx	0	1	nobug	0.25	0	0
0.182	Nx	8	1	lptD	0.25	0	8
0.19	Nx	0	1	nobug	0.25	0	0
0.173	Nx	8	2	lptD	0.25	0	8
0.173	Nx	0	1	nobug	0.25	0	0
0.277	Nx	8	1	nobug	0.25	0	8
0.154	Nx	0	1	nobug	0.25	0	0
0.218	Nx	8	1	nobug	0.25	0.001	8
0.157	Nx	0	1	nobug	0.25	0	0
0.187	Nx	8	1	nobug	0.25	0	8
0.16	Nx	0	1	nobug	0.25	0	0
0.606	Nx	8	1	nobug	0.25	0	8
1.912	Nx	0	1	nobug	0.25	0	0
1.664	Nx	8	1	nobug	0.25	0	8
1.536	Nx	0	1	nobug	0.25	0	0
0.185	Nx	8	1	nobug	0.25	0.003	8
0.946	Nx	0	1	nobug	0.25	0	0
0.202	Nx	8	1	nobug	0.25	0	8
1.716	Nx	0	1	nobug	0.25	0	0
0.171	Nx	8	1	nobug	0.25	0	8
1.783	Nx	0	1	nobug	0.25	0	0
0.182	Nx	4	1	zntA	0.25	0	4
0.174	Nx	4	1	yijE	0.25	0	4
0.172	Nx	4	2	zntA	0.25	0	4
0.164	Nx	4	2	yijE	0.25	0	4
0.166	Nx	4	1	ompF	0.25	0	4
0.158	Nx	4	1	copA	0.25	0	4
0.16	Nx	4	2	ompF	0.25	0	4
0.165	Nx	4	2	copA	0.25	0	4
0.16	Nx	4	1	cueO	0.25	0	4
0.157	Nx	4	1	nmpC	0.25	0	4
0.161	Nx	4	2	cueO	0.25	0	4
0.161	Nx	4	2	nmpC	0.25	0	4
0.155	Nx	4	1	blc	0.25	0	4
0.158	Nx	4	1	putP	0.25	0	4
0.153	Nx	4	2	blc	0.25	0	4
0.162	Nx	4	2	putP	0.25	0	4
0.152	Nx	4	1	eamA	0.25	0	4
0.154	Nx	4	1	BW_EC	0.25	0	4
0.149	Nx	4	2	eamA	0.25	0	4
0.15	Nx	4	2	BW_EC	0.25	0	4
0.15	Nx	4	1	yhbE	0.25	0	4
0.15	Nx	4	1	BW_SG	0.25	0.001	4
0.146	Nx	4	2	yhbE	0.25	0.001	4
0.148	Nx	4	2	BW_SG	0.25	0	4
0.173	Nx	4	1	ampD	0.25	0	4
0.212	Nx	0	1	nobug	0.25	0	0
0.188	Nx	4	2	ampD	0.25	0	4
0.225	Nx	0	1	nobug	0.25	0	0
0.179	Nx	4	1	lptD	0.25	0	4
0.182	Nx	0	1	nobug	0.25	0	0
0.171	Nx	4	2	lptD	0.25	0	4
0.176	Nx	0	1	nobug	0.25	0	0
0.208	Nx	4	1	nobug	0.25	0.00899999999999998	4
0.167	Nx	0	1	nobug	0.25	0	0
0.222	Nx	4	1	nobug	0.25	0.016	4
0.154	Nx	0	1	nobug	0.25	0	0
0.184	Nx	4	1	nobug	0.25	0	4
0.17	Nx	0	1	nobug	0.25	0.003	0
0.185	Nx	4	1	nobug	0.25	0	4
1.06	Nx	0	1	nobug	0.25	0	0
0.19	Nx	4	1	nobug	0.25	0	4
1.713	Nx	0	1	nobug	0.25	0	0
1.361	Nx	4	1	nobug	0.25	0.002	4
1.326	Nx	0	1	nobug	0.25	0	0
0.169	Nx	4	1	nobug	0.25	0.001	4
1.262	Nx	0	1	nobug	0.25	0	0
0.16	Nx	4	1	nobug	0.25	0.001	4
1.408	Nx	0	1	nobug	0.25	0	0
0.168	Nx	2	1	zntA	0.25	0	2
0.166	Nx	2	1	yijE	0.25	0	2
0.17	Nx	2	2	zntA	0.25	0	2
0.161	Nx	2	2	yijE	0.25	0	2
0.163	Nx	2	1	ompF	0.25	0	2
0.165	Nx	2	1	copA	0.25	0	2
0.166	Nx	2	2	ompF	0.25	0	2
0.172	Nx	2	2	copA	0.25	0	2
0.157	Nx	2	1	cueO	0.25	0	2
0.156	Nx	2	1	nmpC	0.25	0	2
0.163	Nx	2	2	cueO	0.25	0	2
0.159	Nx	2	2	nmpC	0.25	0	2
0.154	Nx	2	1	blc	0.25	0	2
0.16	Nx	2	1	putP	0.25	0	2
0.161	Nx	2	2	blc	0.25	0	2
0.159	Nx	2	2	putP	0.25	0	2
0.155	Nx	2	1	eamA	0.25	0	2
0.152	Nx	2	1	BW_EC	0.25	0	2
0.156	Nx	2	2	eamA	0.25	0	2
0.145	Nx	2	2	BW_EC	0.25	0	2
0.145	Nx	2	1	yhbE	0.25	0	2
0.148	Nx	2	1	BW_SG	0.25	0.001	2
0.148	Nx	2	2	yhbE	0.25	0	2
0.146	Nx	2	2	BW_SG	0.25	0	2
0.168	Nx	2	1	ampD	0.25	0	2
0.185	Nx	0	1	nobug	0.25	0	0
0.191	Nx	2	2	ampD	0.25	0	2
0.189	Nx	0	1	nobug	0.25	0	0
0.185	Nx	2	1	lptD	0.25	0	2
0.197	Nx	0	1	nobug	0.25	0	0
0.176	Nx	2	2	lptD	0.25	0	2
0.18	Nx	0	1	nobug	0.25	0	0
0.215	Nx	2	1	nobug	0.25	0	2
0.173	Nx	0	1	nobug	0.25	0	0
0.205	Nx	2	1	nobug	0.25	0.001	2
0.156	Nx	0	1	nobug	0.25	0.001	0
0.19	Nx	2	1	nobug	0.25	0.001	2
0.149	Nx	0	1	nobug	0.25	0	0
0.195	Nx	2	1	nobug	0.25	0.001	2
0.163	Nx	0	1	nobug	0.25	0	0
0.201	Nx	2	1	nobug	0.25	0.002	2
1.41	Nx	0	1	nobug	0.25	0	0
0.171	Nx	2	1	nobug	0.25	0	2
1.826	Nx	0	1	nobug	0.25	0	0
1.305	Nx	2	1	nobug	0.25	0	2
1.766	Nx	0	1	nobug	0.25	0	0
0.173	Nx	2	1	nobug	0.25	0.001	2
1.753	Nx	0	1	nobug	0.25	0	0
0.166	Nx	1	1	zntA	0.25	0	1
0.161	Nx	1	1	yijE	0.25	0	1
0.173	Nx	1	2	zntA	0.25	0	1
0.165	Nx	1	2	yijE	0.25	0	1
0.165	Nx	1	1	ompF	0.25	0	1
0.166	Nx	1	1	copA	0.25	0	1
0.165	Nx	1	2	ompF	0.25	0	1
0.167	Nx	1	2	copA	0.25	0	1
0.158	Nx	1	1	cueO	0.25	0	1
0.156	Nx	1	1	nmpC	0.25	0	1
0.156	Nx	1	2	cueO	0.25	0	1
0.159	Nx	1	2	nmpC	0.25	0	1
0.154	Nx	1	1	blc	0.25	0	1
0.152	Nx	1	1	putP	0.25	0	1
0.16	Nx	1	2	blc	0.25	0	1
0.156	Nx	1	2	putP	0.25	0	1
0.153	Nx	1	1	eamA	0.25	0	1
0.153	Nx	1	1	BW_EC	0.25	0	1
0.152	Nx	1	2	eamA	0.25	0	1
0.145	Nx	1	2	BW_EC	0.25	0	1
0.149	Nx	1	1	yhbE	0.25	0	1
0.146	Nx	1	1	BW_SG	0.25	0	1
0.149	Nx	1	2	yhbE	0.25	0.001	1
0.145	Nx	1	2	BW_SG	0.25	0	1
0.176	Nx	1	1	ampD	0.25	0	1
0.195	Nx	0	1	nobug	0.25	0	0
0.201	Nx	1	2	ampD	0.25	0	1
0.179	Nx	0	1	nobug	0.25	0	0
0.192	Nx	1	1	lptD	0.25	0	1
0.173	Nx	0	1	nobug	0.25	0	0
0.189	Nx	1	2	lptD	0.25	0	1
0.175	Nx	0	1	nobug	0.25	0	0
0.223	Nx	1	1	nobug	0.25	0.001	1
0.167	Nx	0	1	nobug	0.25	0	0
0.202	Nx	1	1	nobug	0.25	0	1
0.227	Nx	0	1	nobug	0.25	0.002	0
0.189	Nx	1	1	nobug	0.25	0	1
0.179	Nx	0	1	nobug	0.25	0.001	0
0.2	Nx	1	1	nobug	0.25	0.003	1
0.216	Nx	0	1	nobug	0.25	0	0
0.202	Nx	1	1	nobug	0.25	0.002	1
1.42	Nx	0	1	nobug	0.25	0	0
0.18	Nx	1	1	nobug	0.25	0.005	1
1.735	Nx	0	1	nobug	0.25	0	0
0.168	Nx	1	1	nobug	0.25	0.003	1
0.154	Nx	0	1	nobug	0.25	0	0
0.174	Nx	1	1	nobug	0.25	0.00299999999999997	1
0.141	Nx	0	1	nobug	0.25	0	0
0.156	Nx	0.5	1	zntA	0.25	0	0.5
0.167	Nx	0.5	1	yijE	0.25	0	0.5
0.17	Nx	0.5	2	zntA	0.25	0	0.5
0.161	Nx	0.5	2	yijE	0.25	0	0.5
0.163	Nx	0.5	1	ompF	0.25	0	0.5
0.16	Nx	0.5	1	copA	0.25	0	0.5
0.162	Nx	0.5	2	ompF	0.25	0	0.5
0.158	Nx	0.5	2	copA	0.25	0	0.5
0.161	Nx	0.5	1	cueO	0.25	0	0.5
0.157	Nx	0.5	1	nmpC	0.25	0	0.5
0.158	Nx	0.5	2	cueO	0.25	0	0.5
0.159	Nx	0.5	2	nmpC	0.25	0	0.5
